Prebiotics Probiotics and Synbiotics Affect Mineral Absorption Bone Mineral Content and Bone Structure ,Several studies in animals and humans have shown positive effects of specific pre and probiotics on mineral metabolism bone composition and bone architecture but it is difficult to draw conclutions because benefits vary on the type and amount of preand probiotic consumed Studies have shown that women who are more than 6 yrs postmenopausal may benefit more than women around postmenopause whose bone loss is more affected by the decline in circulating estrogens,,,,,
A quick guide to change your behavior Your weight is important,Over the past few years it has become clear that weight is an important health issue Some people who need to lose weight need to make some behavioral changes to lose weight and live healthier lifestyles ,,,,,
Behavioral weight-loss interventions that focus on diet and/or exercise are considered the most effective treatments for obesity,Some new directions in behavioral weight-loss treatment programs include placing an emphasis on self-monitoring during high-risk times providing meal plans and grocery lists prescribing multiple short bouts of activity encouraging lifestyle activity and encouraging a higher level of exercise for long-term weight loss ,,,,,
Weight loss habits helps spouse lose weight with even trying,There are many reasons to hypothesize that weight loss in one spouse will have a ripple effect on the other spouse If one spouse changes his or her eating and exercise habits the other spouse might emulate these new health behaviors  ,,,,,
Team based and social influences impact weight loss outcomes,Team-mates affect weight loss outcomes during a team-based intervention Harnessing and maximizing teammate influence for weight loss may help develop weight loss programs and plans that are more successful,,,,,
Your plate is bigger than your stomach,Large plates and bowls lead to more eating for the same reason giant popcorn buckets do they make portions look smaller Short wide drinking glasses have a similar effect   ,,,,,
Dietary fiber and your body weight,The average fiber intake of adults in the United States is less than half recommended levels and is lower still among those who follow currently popular low-carbohydrate diets such as Atkins and South Beach Increasing consumption of dietary fiber with fruits vegetables whole grains and legumes across the life cycle is a critical step in stemming the epidemic of obesity found in developed countries The addition of functional fiber to weight-loss diets should also be considered as a tool to improve success,,,,,
Eat more protein to feel full for long,Swapping protein for fat produced similar weight loss and improvements in metabolic parameters and ghrelin homeostasis Protein is more filling than carbohydrate and carbohydrate is a bit more filling than fat,,,,,
Focusing on improving your lifestyle also causes weight loss,Researchers found that when a group of women focused on improving their whole lifestyle including stress management and social support in addition to eating and exercise they were able to boost their weight loss ,,,,,
Public health recommends taking at least 10000 steps/day,This study found that low active overweight individuals undertook significantly more physical activity when they had a daily 10000 step goal using a pedometer than when they were asked to achieve 30 minutes of walking/day Therefore public health recommendation of 10000 steps/day rather than the 30 min/day could be applied to promote increased physical activity in sedentary lifestyles,,,,,
To maintain weight loss have to keep eating fruits and vegetables,Sustained weight loss requires a positive coping style continued contact with those who supported the initial weight loss improved health measures and developing a normal eating style that includes increasing vegetables fruits and low-fat dairy,,,,,
Wishing to be thin may make you more prone to see-saw weight trends,Those who have moderate or high levels of expectation regarding being thin maybe more prone to see-saw weight,,,,,
Lack of control on eating causes over-eating and more perceived hunger,Dietary disinhibition means lack of control on eating A person with high levels of disinhibition will have more frequent episodes of overeating and is likely to eat rapidly have more symptoms of disordered eating and higher ratings of perceived hunger Thus high levels of dietary disinhibition are associated with weight gain and obesity,,,,,
People who eat whole grain food weigh less than those who don't,Numerous researches have shown that people who consume whole grain weigh less than the people who consume less whole grain The fiber in whole grains causes weight loss This fiber is removed from the grains during the refining process,,,,,
Teenage years are the best time to educate young women about healthy diet,Early adulthood which is a time of significant life changes for many women may be an important time for implementing strategies to promote maintenance of healthy weight Strategies which encourage decreased sitting time and less takeaway food consumption may be effective for encouraging weight maintenance at this life stage The source of foods and where they are eaten are also important factors that affect weight In a study those who maintained a healthier weight were less likely to order in foods into their homes,,,,,
TV Ads Contribute to Childhood Obesity,Fast food commercials on television nudges your children to eat unhealthy and raises the risk of obesity ,,,,,
Why kids who eat junk food early prefer it later in life,Early exposure can influence children to prefer those same foods growing up,,,,,
This cooking trick may cut rice calories in half,An easy natural way to make rice less caloric add a little fat then let it cool According to research using coconut oil and a refrigerator can slash calories by as much as 60%,,,,,
The 4 most confusing things about Sugar,People who ate the most added sugar more than doubled their risk of death from heart disease a JAMA Internal Medicinestudy found ,,,,,
Tai Chi is the best exercise for Balance,Tai chi is an ancient Chinese exercise that can help older adults improve their balance and lower their fall risk The slow flowing motions of Tai chi train you to shift your weight while maintaining your balance,,,,,
Strength Training Builds more than Muscle,Strength training has benefits beyond those offered by aerobic weight-bearing exercise It targets bones of the hips spine and wrists which along with the ribs are the sites most likely to fracture,,,,,
The Power of Sleep,New research shows a good night's rest isn't a luxury--it's critical for your brain and for your health,,,,,
Yoga resulted in greater improvement in mood than walking,In a study a 12-week yoga program resulted in greater improvements in mood and anxiety than a metabolically matched walking exercise This is the first study to demonstrate that increased levels that are associated with improved mood and decreased anxiety It is also the first time that yoga postures have been associated with a positive correlation between acute increases in mode and anxiety levels and improvements in mean scores on mood and anxiety scales,,,,,
Yoga for Anxiety and Depression,Available reviews of a wide range of yoga practices suggest they can reduce the impact of exaggerated stress responses and may be helpful for both anxiety and depression In this respect yoga functions like other self-soothing techniques such as meditation relaxation exercise or even socializing with friends,,,,,
Concerned about blemishes Must read,Here is an in-depth report on the treatment and prevention of skin wrinkles and blemishes,,,,,
Dietary Committee is promoting eggs and coffee as healthy,The report by the Dietary Guidelines Advisory Committee tries to rehabilitate once frowned upon foods such as eggs and coffee while renewing calls to banish processed foods and sugary soft drinks from the American diet As per the commitee we eat too much salt sugar and saturated fat and not enough fruit veggies nuts whole grains and fish,,,,,
Naps Boost Productivity,According to a new research a 45 minutes short nap can have extraordinary benefits for memory,,,,,
In search for a milk alternate,Milk alternatives like Soy Milk and Almond Milk differ in nutritional value Make sure that you are getting a product which is low in sugar and fat and also high in protein and calcium Ditch the sweetened and flavored ones,,,,,
Mother's smoking may affect girl's lifetime reproductive health,New research suggests that girls whose mothers smoked while pregnant entered puberty at a younger age in a new Australian study Early menstruation is linked to higher risk of uterine endometrial and breast cancers later in life,,,,,
Are you estimating your workout time and food intake correctly,One limiting factor in exercise for weight loss is that people don't estimate their food and exercise levels accurately Many research studies have found that it is common for people who are trying to lose weight to overestimate their physical activity At the same time it is common to underestimate calories consumed,,,,,
Physical activity food choice and weight management goals and practices among US college students,College campuses provide an ideal forum for reaching large numbers of young adults with education and prevention programs that promote healthy weight management In addition to vigorous physical activity strengthening exercises and limited consumption of high-fat foods students should be encouraged to incorporate moderate physical activity and sufficient consumption of fruits and vegetables into their weight management strategy Efforts to impact student knowledge attitudes and behaviors should begin during the orientation process and continue through ongoing student services physical education classes and outreach activities Colleges should implement professional and peer-led programs that combine outreach education and referral services and offer required courses that provide experiential education in physical activity and nutrition  ,,,,,
Exercise is the important aspect of weight loss and staying healthy,There is no right exercise for weight loss The most important aspect of weight loss and staying healthy is to exercise In a randomized controlled weight-loss trial of overweight women that specifically compared a structured activity regimen aerobic exercise classes with a lifestyle activity regimen focus on increasing time and effort spent in everyday chores both types of activity led to comparable results after one year  ,,,,,
Salty snacks tied to high blood pressure in youth,Eating lots of salt or sodium is a risk factor for high blood pressure and the salt in the diets of children is increasing worldwide with the increase in consumption of processed foods researchers report Some of the major sources of sodium in worldwide children's diets are pizza chips sandwiches and other salty foods that are often eaten as snacks between meals  ,,,,,
Daily Weigh-ins encourage weight loss,Getting on the scale every day may boost enthusiasm for healthy behaviors and lead to greater weight loss according to a new US study ,,,,,
Strawberries are loaded with pesticides,Nearly half of food products in Europe contain residues of pesticides with strawberries the most likely to exceed legal limits  ,,,,,
Controlling -What and how much you eat,Altering the palates so we don't like unhealthful salt and sugar is one way to control what and how much we eat Another strategy is to increase our taste for foods that are certifiably healthful like vegetables  ,,,,,
To lower colestrol rely on your common sense,To lower your cholesterol you don't have to follow all or nothing approachRely on your common sense and weed out the worst fats add more fiber to your diet and go crazy with color in your diet  Remember All fats whether good or bad have nine calories per gram-about 100 calories a tablespoon,,,,,
Healthy travel Don't let this common hazard spoil your best-laid plans,Long road trips also carry a risk of deep-vein thrombosis Take a break to stretch your legs every hour or so,,,,,
Plant based diet Nuts legumes and seeds can help you lose weight,Plant-based diet-rich in fruits vegetables whole grains and healthy plant oils-may help reduce the risk of male health concerns including heart disease stroke diabetes and cancer Adding fresh fruits and vegetables is a no-brainer for adopting a plant-based diet but don't neglect nuts seeds and legumes,,,,,
Paleo Diet is mor effective in reversing metabolic syndrome,Studies have found that Paleo diet is more effective in reversing metabolic syndrome the first step toward diabetes and cardiovascular risks in patients with extra belly fat or other risk factors for diabetes than a diet based on standard guidelines The Paleo group lost more weight even when the researchers tried to keep their weight stable by adding extra calories,,,,,
Paleo diet helps lower long-term measure of blood sugar,In studies when compared a paleo diet and a standard low-fat diabetic diet on people with Type 2 diabetes The paleo group ended up with lower long-term measure of blood sugar lower triglyceride and blood-pressure levels and higher levels of 'good' cholesterol People following paleo diet also lost more weight and belly fat,,,,,
New Crossfit style workouts are taking over the gym industry,CrossFit-style workout regimens are spreading to unaffiliated health clubs and gyms,,,,,
Try boxing instead of lifting,If you're bored with lifting weights grab some boxing gloves instead People who find doing reps of weight exercises mundane might like the challenge of learning a skill as well as the competitive and social element of boxing,,,,,
Research suggests that wearables are only facilitators of healthy behavior,Wearable devices are facilitators not drivers of weight loss or health behavior change ,,,,,
Wearable investing in making exercising more psychologically inviting,Makers of wearable fitness trackers such as Fitbit Garmin Jawbone and Microsoft wristbands are invested in making exercising more psychologically inviting  ,,,,,
Applying lessons learned from previous dieting and weight loss attempts,People appear to behave paradoxically by persisting in repeated self-change attempts despite previous failures It is argued though that self-change attempts provide some initial rewards even when unsuccessful Feelings of control and optimism often accompany the early stages of self-modification efforts In addition unrealistic expectations concerning the ease speed likely degree of change and presumed benefits of changing may overwhelm the knowledge of one's prior failures In absence of feasible goals concerning the amount of effort and time needed the rate of weight loss and benefits to be gained with self-change a self-determined assessment of failure can occur Applying lessons learned from previous dieting and weight loss attempts that were derailed by this false hope syndrome can be instrumental in achieving lasting weight loss success,,,,,
Unrealistic weight-loss goals can undermine the weight loss efforts,Research suggests that having unrealistic weight-loss goals can undermine the effort against consistently making the behavior changes needed for lasting weight loss Managing expectations particularly as they relate to the speed with which weight-loss is achieved helps in keeping weight-loss efforts on track,,,,,
How your body image of yourself impacts kids,Research has shown that daughters are more likely to have ideas about dieting when their mothers diet Girls pick up on comments about dieting concepts that may seem harmless such as limiting high-fat foods or eating less Yet as girls enter their teen years having ideas about dieting can cause eating disorders,,,,,
Cook at home to eat healthy and less calories,People who frequently cook meals at home eat healthier and consume fewer calories than those who cook less according to new Johns Hopkins Bloomberg School of Public Health research  ,,,,,
Home-cooking disproportionately burdens mothers and thereby causing over-eating,The traditional standards of 'good mothering' demand that mothers manage an unrealistic balance of their own time money energy and focus all while catering to the desires of their families Study finds that home-cooking disproportionately burdens mothers and thereby inducing habits like over-eating ,,,,,
Fruits and Vegetables Finally go Social,Giving cauliflower the same type of marketing firepower as candy bars and potato chips  New campaign plans to put that premise to the test by enlisting celebrities including actress Jessica Alba and NBA star Stephen Curry to shill for fruits and vegetables,,,,,
Why we sign up for the Gym Memberships But Never go to the Gym,The business model for all the gyms depend on us signing up but not showing up,,,,,
Walking shoes Features and fit that keeps you moving,A walking shoe should also be fairly lightweight and provide good shock absorption But not all walking shoes are created equal Find the fit and features that are right for you Most of all walking shoes should be comfortable,,,,,
Being overweight or obese during pregnancy increases risks for both mom and baby,Being overweight or obese during pregnancy increases risks for both mom and baby The complications increase as the degree of overweight increases Complications for mom include increased risk of high blood pressure gestational diabetes C-section and more difficult deliveries  ,,,,,
35-70% of the difference between individuals with regards to body fatness can be due to genetics,Research shows that approximately 35-70% of the difference between individuals with regards to body fatness can be attributed to genetics,,,,,
Environment to which a fetus is exposed during pregnancy impacts weight later in life,The environment to which a fetus is exposed during pregnancy impacts weight later in life Many studies have also found direct links between both high and low birth weights and a greater likelihood for overweight and obesity years later,,,,,
Increased screen time is making kids more prone to obesity,Increased screen time spent in front of the TV or mobile devices is making our children more prone to obesity,,,,,
Organice fruits are less sweet and that may mean they are lower in calories,Research suggests that flavonols one of the beneficial plant compounds may stabilize blood sugar levels helping to keep appetite in check while another such compound resveratrol has been shown to promote fullness Some pesticides used in conventional farming however may reduce the level of resveratrol in plants So if vitamins and antioxidants aren't what's making that non-organic apple bigger what is Simple sugars and starches which explains why conventional produce is often sweeter and juicier,,,,,
Simplify the Pesticide Equation The Organic Option,Average American is exposed to 10 to 13 pesticide residues per day including one to three highly toxic pesticides called organophosphates Organic production reduces average overall dietary exposure by 97 percent according to research from The Organic Center a nonprofit research and educational organization,,,,,
The Fleeting Benefits of Marathons,Research shows consistent long-distance running can improve cardiovascular health and lower the risk of disorders of the eye and prostate among other organs the Wall Street Journal reported ,,,,,
How employment status and work hours affect weight gain among women,9276 Australian women aged 45-50 had their body weight and employment status monitored for two years Results Those who worked more than 35 hours were likely to gain weight compared to those who worked fewer hours or were out of the workforce What's more the more hours a woman worked in a week the more weight she gained,,,,,
Non-caloric sweetners only have a short term impact on weight loss,The idea that replacing sugar with non-caloric sweeteners can help to reduce calorie intake and lead to weight loss is a common belief In fact there have been literally hundreds of studies of non-caloric sweeteners and their effect on weight management metabolism appetite and obesity The results of these studies vary considerably Most studies show a beneficial impact on weight loss have been short term or have found no impact Because of the short length of the study it is problematic to conclude that non-caloric sweeteners are helpful over the long term,,,,,
Yes We Will Have No Bananas,Yes we will have no bananas Perhaps it's time we recognize bananas for what they are an exotic fruit that some day soon may slip beyond our reach,,,,,
Drink more water to lose more weight,We typically drink about 400 to 500 calories a day in form of beverages like soda juice or coffee We should try to replace those calories with water,,,,,
Did you lose water weight,One way to check your hydration status is to weigh yourself before and after exercise The before-exercise measurement is best as a nude weight first thing in the morning after urinating Comparing your body weight before and after exercise can be used to estimate your sweat loss and your fluid requirements Any weight loss is likely from fluid loss so drinking enough to replenish these losses will maintain hydration,,,,,
Chart of high-fiber foods,Looking to add more fiber to your diet Fiber along with adequate fluid intake moves quickly and relatively easily through your digestive tract and helps it function properly A high-fiber diet may also help reduce the risk of obesity heart disease and diabetes ,,,,,
Flax seed is good for your heart,Dietary flax seed protects against ischemic heart disease by improving vascular relaxation responses and by inhibiting the incidence of ventricular fibrillation,,,,,
Structured Diet and Exercise can help prevent postpartum weight gain,A structured weight-loss program may be especially beneficial A study that compared a weight-loss program to a do-it-yourself approach in the year following pregnancy found that overweight women who participated in the weight-loss program lost over 15 pounds whereas the women who tried to lose weight on their own lost nothing Women who committed to this one class per week for 12 weeks postpartum had a high likelihood of successful weight loss that persisted at 1 year This suggests that healthcare professionals should strongly encourage postpartum women to enroll in a structured diet and exercise program,,,,,
Healthy diet weight control and physical activity are important for long-term cardiovascular health,Health-related behaviors affecting diet weight control and physical activity are important for long-term cardiovascular health but behavior change is difficult to initiate and maintain For the sake of this study researchers developed a health program in which social support has a key role to encourage a prudent diet weight control and physical activity They first evaluated the program in couples beginning to live together a group chosen because of the risk of weight gain and decreased physical activity after marriage readiness to change behavior at that time in the life course and the opportunity to use partner's support in achieving behavior change In an initial short-term study with these couples intake of fat and takeaway foods decreased and consumption of fruit vegetables and reduced fat foods increased Physical activity increased and there was a 6% fall in blood cholesterol The same program when modified for weight loss improved dietary habits and increased physical activity in overweight treated hypertensives supported by their partners Weight loss seen at the end of the 16 week program was significantly greater in the program supported by the partners than with usual care,,,,,
Behavioral weightloss treatment focuses on self monitoring,Behavioral treatment is an approach used to help individuals develop a set of skills to achieve a healthier weight The behavior change process is facilitated through the use of self-monitoring goal setting and problem solving Studies suggest that behavioral treatment produces weight loss of 810% during the first 6 mo of treatment Structured approaches such as meal replacements and food provision have been shown to increase the number of lbs lost,,,,,
In the face of Cancer Anjelina Jolie decides to take charge,Gripping heart-wrenching compelling and thoughtful Those were my reactions as I read through Angelina Jolie's journey through cancer prevention and management Faced with a strong family history of ovarian cancer we all know her courageous decision just a few years ago to have a double mastectomy Almost 21000 cases of ovarian cancer are diagnosed and approximately 14000 women die annually from this disease These are sobering statistics facing women today,,,,,
Excess alcohol may boost liver cancer but coffee can fight it,The report from the World Cancer Research Fund International found 'strong evidence' that drinking coffee might actually lower a person's odds for liver cancer ,,,,,
Water is the most important nutritient of life,Undoubtedly the most important nutrient and the only one whose absence will be lethal within days understanding of water measurement and requirements are very important The effects of water on daily performance and short and long-term health are quite clear The importance of understanding the role of fluid intake on health has emerged as a more important topic partially because of the shift toward large proportions of fluids coming from caloric beverages ,,,,,
Regular exercise changes the brain to improve memory thinking skills,Researchers found that regular aerobic exercise the kind that gets your heart and your sweat glands pumping appears to boost the size of the hippocampus the brain area involved in verbal memory and learning ,,,,,
Stopping foodborne illness faster testing vigilance at home,The following steps will help ward off the bugs that can make us sick Wash your hands thoroughly before and after you prepare food before you eat and after you use the bathroom Wash all fruits vegetables poultry fish and meats Use a forceful stream of clean water to blast off surface bacteria and rinse off chemicalsRefrigerate foods within one or two hours and keep your refrigerator at a frosty 40' F or lower,,,,,
Both work and parenting influence risk of early death,The health effects of balancing career and parenting have been studied a lot but most of the attention has focused on a single period in the middle of a woman's life Recently researchers affiliated with Harvard University and the Harvard TH Chan School of Public Health decided to look at how sustaining that balancing act over decades affects a woman's risk of dying before age 75,,,,,
Bedtime Stories for Young Brains,Young children learn language from the speech they hear Previous work suggests that greater statistical diversity of words and of linguistic contexts is associated with better language outcomes One potential source of lexical diversity is the text of picture books that caregivers read aloud to children Many parents begin reading to their children shortly after birth so this is potentially an important source of linguistic input for many children,,,,,
The teen years explainted,Research has shown that teenagers are consuming more calories than their body needs and also consuming less nutritional food,,,,,
For fat loss calories matter more than fat or carbs,In a recent study 10 men and 9 women were hospitalized twice for two-week stays for this experiment restricting calories through fat or carbohydrate reduction In addition to prepared meals they all exercised on a treadmill for one hour a day at a set pace and incline This study lent credence to popular beliefs about low-carb eating Cutting carbs did indeed decrease insulin production in the study It also led to an increased breakdown in stored fats that can be used for energy a process known as fat oxidation By contrast the low-fat diet didn't significantly change insulin production or fat oxidation The results do offer solid evidence that low-carb diets aren't superior for fat loss The results of this study suggest that overall energy balance is the biggest factor how do you cut calories in what you eat,,,,,
Weight loss linked to bone loss in middle aged women,With comparable amounts of weight loss researchers found between men and women the women lost bone density at the spine and the hip in the postmenopausal group and the men actually gained bone density at the spine and had a stable bone density of the hip,,,,,
Common Dietary Supplements for Weight Loss,Doctor's feel patients who use weight-loss supplements may be highly motivated to lose weight and physicians can try to harness this motivation to encourage more proactive and established approaches to weight loss such as changes in diet and exercise Regarding the future use of dietary supplements for weight loss an increased regulation and testing of the dietary supplement industry are necessary if any of these products are to be recommended as part of a responsible weight-loss program,,,,,
Drink water before meals to lose weight,Drinking 16 ounces before meals leads to more weight loss a new study shows As per the results of this study there is preliminary evidence that water preloading before main meals leads to a moderate weight loss at follow up,,,,,
Nutrition in Toddlers,Young children are unpredictable in the time and place they feel hungry and they generally do not have the innate ability to choose a well-balanced diet These erratic eating habits are often frustrating for parentsFood jags' occur when toddlers request repetitive presentation of one food while other foods are excluded entirely Parents can be encouraged that although toddlers seem to have irregular diets their total energy intake averaged over several days usually is constant,,,,,
Sleep Tips,Here are some things you can do to help get a good night's sleep,,,,,
Teen Eating Habits,With teens' increased independence parents often are no longer in control of what they eat Instilling general principles of healthy eating will help guide teens when they're out and about Smartphone apps and other online tools may motivate a teen to be mindful of eating habits Many food journal apps and websites have Nutrition Facts for menu items of chain restaurantsThere's no question that teenagers will make mistakes along the way but continue to encourage them to take ownership of their health it will pay off,,,,,
How employment status and work hours affect weight gain among women,9276 Australian women aged 45-50 had their body weight and employment status monitored for two years Results Those who worked more than 35 hours were likely to gain weight compared to those who worked fewer hours or were out of the workforce What's more the more hours a woman worked in a week the more weight she gained,,,,,
New Year's Resolution Body Fat Spot Reduction,It is that time of year where we make our New Year’s resolutions and getting fit and healthy is always one of the main ones  and most of us want to lose body fat,,,,,
Home cooking a main ingredient in healthier diet study shows,People who frequently cook meals at home eat healthier and consume fewer calories than those who cook less according to new Johns Hopkins Bloomberg School of Public Health research,,,,,
Coffee flour may be a healthier way to enjoy your java,Research has shown that drinking coffee is good for you  A natural chemical compound in the coffee bean called chlorogenic acid CGA is thought to be beneficial in modulating sugar metabolism controlling blood pressure and possibly treating heart disease and cancer Unfortunately when coffee is roasted the traditional way -typically above 400 degrees Fahrenheit for 10 to 15 minutes -the CGA content drops dramatically One study found the decrease ranged from 50 to nearly 100 percent By parbaking the coffee bean CGA concentration barely dropped Scientist foresee many uses for coffee flour,,,,,
7 Exercises that trainers themselves wouldn't do,Most of the exercises you see people performing in the gym are ineffective inefficient and may increase your risk of injury Ditch these common exercises for safer more efficient and trainer-approved moves,,,,,
It's a 2016 start with a clean slate to be fitter healthier smarter richer and more loving,This is not rocket science We know what to do to live healthier lives The New Year seems to give us that extra push to put words into action ,,,,,
Car commuters gained twice as much weight than non-car commuters,Your daily car commute may lead to weight gain and certainly aggravate any exisiting conditions like high blood sugar high cholesterol aniexty and depression,,,,,
Too much proceesed foods in our children's diet,Processed foods especially for our children often have very little nutritional value and are full of unhealthy chemicals As parents we can feed them nourishing meals at home so they will be more likely to eat nourishing meals outside the home,,,,,
Smartphone Applications for Patients' Health and Fitness,Fitness apps can better help people reach their health and fitness goals The apps analyze data from the phone's inbuilt tools and can offer plans based on user's goals frequent feedback personalized coaching and motivation There is also the social media aspect as you share milestones with friends,,,,,
Downsizing portions to help tackle obesity,Larger portions of food increase consumption per a study conducted by professor Theresa Marteau and her colleagues Over the past 50 years the size of tableware packaging and portion sizes has increased Because of this we consistently eat and drink more when offered in this way Downsizing has to happen to fight the obesity crisis,,,,,
See how mindfulness helps you live in the moment,Mindfulness exercises can help you reduce stress improve your mood and you are more positive and less distracted It's a form of meditation that can help you be more attentive to your surroundings,,,,,
Can your coffee habit help you live longer,Drinking coffee in moderation can be part of a healthy lifestyle It has antioxidants that help protect our bodies from cell damage Both caffeinated and decaffeinated have been shown to have a protective effect,,,,,
